name,year,quarter,count
Ruby,2011,3,965
JavaScript,2011,3,694
Python,2011,3,619
PHP,2011,3,560
Java,2011,3,420
C++,2011,3,339
C,2011,3,163
C#,2011,3,159
Ruby,2011,4,4361
JavaScript,2011,4,4003
Python,2011,4,3145
PHP,2011,4,2841
C++,2011,4,1941
Java,2011,4,1808
C,2011,4,1113
C#,2011,4,729
Objective-C,2011,4,496
Shell,2011,4,306
Scala,2011,4,305
HTML,2011,4,255
Haskell,2011,4,169
Factor,2011,4,125
CSS,2011,4,120
Clojure,2011,4,114
Erlang,2011,4,111
Rust,2011,4,107
ActionScript,2011,4,106
JavaScript,2012,1,8910
Ruby,2012,1,7317
Python,2012,1,6774
PHP,2012,1,4858
Java,2012,1,4429
C++,2012,1,3421
C,2012,1,1544
C#,2012,1,1305
Objective-C,2012,1,1111
CoffeeScript,2012,1,483
Scala,2012,1,446
HTML,2012,1,370
Shell,2012,1,349
Haskell,2012,1,310
CSS,2012,1,265
Erlang,2012,1,199
Emacs Lisp,2012,1,170
Clojure,2012,1,142
TypeScript,2012,1,138
ActionScript,2012,1,129
XSLT,2012,1,122
Go,2012,1,111
JavaScript,2012,2,26724
Python,2012,2,19908
Ruby,2012,2,18591
Java,2012,2,13462
PHP,2012,2,12853
C++,2012,2,9933
C,2012,2,4163
Objective-C,2012,2,3181
C#,2012,2,3095
Scala,2012,2,1463
